season,player_name,position,stat_type,stat_value,additional_notes
2020,Jordan McCloud,QB,Passing Yards,1834,Led team through difficult 1-8 season
2020,Brian Battie,RB,Rushing Yards,581,Breakout freshman running back
2020,Xavier Weaver,WR,Receiving Yards,679,Top receiving threat
2021,Timmy McClain,QB,Passing Yards,1569,Split QB duties with McCloud
2021,Brian Battie,RB,Rushing Yards,874,Improved sophomore season
2021,Xavier Weaver,WR,Receiving Yards,1021,1000-yard receiver
2022,Gerry Bohanon,QB,Passing Yards,2298,Baylor transfer brought experience
2022,Brian Battie,RB,Rushing Yards,1082,First 1000-yard rusher since 2019
2022,Xavier Weaver,WR,Receiving Yards,1152,Transferred to Colorado after season
2023,Byrum Brown,QB,Passing Yards,2746,Dual-threat breakout season
2023,Byrum Brown,QB,Rushing Yards,616,Added critical rushing dimension
2023,Sean Atkins,WR,Receiving Yards,1113,Replaced Weaver as top target
2023,Nay'Quan Wright,RB,Rushing Yards,725,Emerged as lead back
2024,Byrum Brown,QB,Passing Yards,3098,School record - first 3000-yard passer
2024,Byrum Brown,QB,Rushing Yards,723,Continued dual-threat production
2024,Sean Atkins,WR,Receiving Yards,1248,School record for receiving yards
2024,Nay'Quan Wright,RB,Rushing Yards,998,Nearly reached 1000 yards
2025,Byrum Brown,QB,Passing Yards,1964,Also 596 rushing yards - continued dual-threat
2025,Byrum Brown,QB,Rushing Yards,596,Leading rusher among QBs
2025,Keshaun Singleton,WR,Receiving Yards,451,Leading receiver with 29 catches
2025,Jeremiah Koper,WR,Receiving Yards,337,Second receiver with 5 TDs
2025,Sam Franklin,RB,Rushing Yards,356,Primary running back
2025,Christian Neptune,WR,Receiving Yards,186,24 catches and 1 TD
